student_id,age,gender,family_income_level,parental_education,distance_from_home_km,has_scholarship,part_time_job,high_school_gpa,entrance_exam_score,prior_failures,semester,attendance_rate,study_hours_per_week,current_gpa,lms_login_freq_per_week,extracurricular_activities,counseling_visits,dropout
S100033,24,Male,Low,Secondary,1.5,1,1,2.99,51.6,0,7,42.6,10.5,3.81,13.0,1,0,1
S100034,28,Female,Low,Secondary,3.7,0,0,3.9,41.7,0,4,96.3,9.3,3.27,13.0,1,0,1
S100035,17,Female,High,Postgraduate,16.7,0,1,4.0,80.0,0,5,77.6,3.4,1.88,13.0,0,1,1
S100036,28,Female,Medium,Secondary,5.5,1,0,2.19,80.7,0,6,94.9,8.2,2.86,6.0,1,0,0
S100037,27,Male,High,Secondary,3.9,0,1,2.65,70.1,0,7,100.0,5.0,3.47,6.0,0,1,0
S100038,20,Male,Low,Bachelor,17.9,1,0,2.74,69.9,1,3,73.6,5.0,1.74,5.0,1,0,1
S100039,25,Female,Low,Bachelor,18.0,0,1,4.0,51.3,0,4,74.3,6.3,3.98,9.0,0,0,0
S100040,19,Female,High,Secondary,83.6,1,1,2.97,28.4,0,3,84.7,0.2,2.9,12.0,0,0,0
S100041,26,Female,Medium,Bachelor,2.6,0,0,3.54,61.3,0,1,63.0,14.9,3.2,6.0,1,0,0
S100042,26,Male,Medium,None,11.1,0,0,3.15,36.5,0,3,75.0,11.1,2.56,7.0,0,0,0
S100043,21,Male,High,Secondary,3.2,1,1,2.4,67.8,1,2,73.8,15.8,2.83,11.0,0,0,0
S100044,17,Female,Medium,Secondary,14.7,0,1,2.07,84.6,0,6,62.2,14.0,2.17,7.0,1,0,1
S100045,29,Male,Low,Bachelor,9.5,0,1,2.69,55.8,0,6,73.0,12.5,3.88,7.0,0,0,1
S100046,22,Female,Medium,Bachelor,6.6,0,0,4.0,56.6,1,1,91.3,14.0,4.06,12.0,1,1,0
S100047,28,Male,Low,Secondary,19.0,0,1,3.13,49.9,1,4,90.2,10.8,4.3,8.0,0,0,0
S100048,25,Male,Low,None,21.2,0,1,3.53,65.7,0,1,77.3,16.5,1.56,5.0,0,0,1
S100049,27,Male,Low,Secondary,4.1,0,0,2.29,64.5,0,4,80.9,7.5,3.03,8.0,0,0,1
S100050,26,Female,High,Secondary,4.4,0,0,2.84,49.7,0,2,75.4,9.9,3.1,10.0,1,0,0
S100051,19,Female,Medium,Secondary,3.4,1,0,3.39,78.7,1,6,53.6,8.6,2.31,18.0,1,1,0
S100052,21,Female,Low,Bachelor,6.9,1,1,2.45,100.0,0,8,64.7,20.1,3.06,14.0,0,0,0
S100053,23,Female,Low,Secondary,22.4,1,1,2.97,82.8,2,5,94.4,6.8,1.79,21.0,0,1,1
S100054,23,Male,Medium,Postgraduate,2.9,0,0,2.56,63.3,0,2,98.0,16.4,3.83,4.0,1,0,0
S100055,17,Female,High,Secondary,0.3,0,0,3.41,63.2,0,6,67.1,3.2,1.73,14.0,1,0,0
S100056,24,Male,Low,None,53.3,0,0,3.2,57.3,1,5,96.8,10.5,2.98,14.0,0,0,1
S100057,19,Male,Low,Secondary,7.6,0,0,3.34,57.0,0,1,62.0,9.1,3.35,8.0,1,0,0
S100058,26,Female,High,Bachelor,0.0,0,1,3.44,79.4,0,1,72.2,4.9,2.38,6.0,1,0,0
S100059,25,Male,High,Secondary,29.6,1,1,2.89,80.0,1,8,78.2,6.7,3.76,11.0,1,0,0
S100060,28,Female,High,Secondary,1.9,0,0,3.5,47.5,0,6,75.9,12.5,1.52,7.0,0,0,0
S100061,26,Female,Low,Secondary,26.8,0,0,2.71,70.5,1,3,69.6,8.3,2.78,3.0,0,1,1
S100062,21,Female,Low,Bachelor,12.5,0,0,3.31,81.7,0,1,81.9,5.2,1.62,2.0,0,1,0
S100063,29,Female,Medium,Postgraduate,14.7,0,1,2.01,59.7,0,6,91.6,14.5,2.26,2.0,1,0,1
S100064,22,Female,Low,Secondary,28.8,0,0,2.63,61.8,1,4,58.2,9.9,2.45,9.0,0,1,1
S100065,21,Male,High,Secondary,6.9,0,0,4.0,75.4,1,4,81.9,11.7,2.41,11.0,0,0,0
S100066,28,Male,Low,Secondary,0.2,1,1,3.31,75.9,0,1,94.5,15.5,3.69,4.0,0,1,0
S100067,21,Male,Medium,Secondary,6.9,0,1,3.31,71.4,0,2,73.8,17.7,1.98,10.0,1,1,0
S100068,17,Female,High,Postgraduate,4.5,0,1,2.59,68.8,0,2,71.8,0.0,1.71,10.0,0,0,1
S100069,23,Female,High,Secondary,13.0,1,0,2.45,70.8,0,5,67.2,9.5,2.5,9.0,0,1,0
S100070,27,Male,Medium,Bachelor,20.5,1,0,2.87,60.8,1,5,100.0,1.6,2.88,11.0,0,0,0
S100071,19,Female,High,Postgraduate,26.0,1,1,2.97,48.2,0,1,100.0,23.6,3.15,9.0,0,0,0
S100072,23,Female,Low,Bachelor,16.7,0,1,3.96,41.7,0,8,75.6,10.8,3.61,13.0,0,0,1
S100073,18,Female,Medium,Secondary,5.2,0,1,3.51,73.9,0,1,97.7,14.9,1.29,10.0,1,1,1
S100074,25,Female,Low,Bachelor,29.7,0,1,3.05,66.6,1,6,72.1,6.9,3.98,3.0,0,1,1
S100075,23,Female,High,Secondary,36.8,1,0,3.03,71.8,2,3,77.7,8.2,2.23,15.0,1,0,0
S100076,21,Female,High,Secondary,0.9,1,1,3.38,52.6,1,8,64.1,15.5,2.61,4.0,0,1,1
S100077,19,Female,Low,Postgraduate,31.6,0,0,2.34,66.5,0,4,52.4,12.6,2.82,8.0,0,0,0
S100078,24,Male,Low,Secondary,15.2,0,0,2.04,66.2,0,5,71.3,18.4,1.28,18.0,1,1,1
S100079,25,Female,Medium,Secondary,9.7,0,0,3.37,84.2,2,2,73.6,5.8,2.5,10.0,0,0,0
S100080,29,Male,Low,Secondary,40.5,0,0,3.04,77.8,0,3,86.4,8.9,3.49,5.0,0,1,1
S100081,22,Female,High,Secondary,2.6,0,0,2.34,53.9,0,8,89.8,12.6,3.24,9.0,0,0,0
S100082,19,Male,Low,Bachelor,13.5,0,0,1.95,72.6,0,7,78.2,13.3,2.45,10.0,0,2,1
S100083,27,Male,Medium,Bachelor,12.8,0,0,3.45,53.8,1,1,65.1,12.1,2.95,9.0,0,0,0
S100084,25,Male,Medium,Bachelor,1.4,0,1,2.74,25.8,0,6,70.1,3.4,3.12,6.0,1,0,1
S100085,26,Female,Medium,Secondary,10.4,0,1,3.2,90.9,0,7,100.0,5.3,2.62,3.0,0,2,0
S100086,18,Male,Low,None,4.4,0,0,2.87,59.4,0,6,89.4,11.7,3.14,3.0,1,0,0
S100087,21,Male,High,Secondary,4.5,0,0,2.98,80.6,2,4,100.0,2.3,2.24,5.0,0,1,0
S100088,26,Female,Medium,Secondary,20.3,0,1,2.7,55.1,0,4,100.0,5.6,2.14,13.0,0,0,0
S100089,27,Female,Medium,Bachelor,11.5,0,0,2.96,52.9,0,7,70.1,10.2,2.59,3.0,0,0,0
S100090,22,Female,Medium,Bachelor,9.0,0,1,3.29,56.8,2,8,92.3,6.1,1.11,9.0,0,1,1
S100091,27,Female,High,Bachelor,55.0,1,0,2.86,68.8,0,8,66.5,11.1,3.29,14.0,1,0,0
S100092,27,Female,High,Bachelor,2.1,0,1,2.83,67.6,1,5,95.5,9.6,2.86,11.0,0,0,0
S100093,22,Male,High,Secondary,0.8,0,0,3.3,72.5,1,5,92.4,6.1,2.64,14.0,1,0,0
S100094,28,Male,Medium,Bachelor,40.4,0,1,3.34,57.6,1,6,48.3,6.2,3.36,6.0,0,0,0
S100095,20,Female,High,Bachelor,3.3,0,0,2.43,65.6,0,4,86.0,16.4,3.07,11.0,0,0,0
S100096,20,Male,Low,Postgraduate,16.0,0,0,2.99,52.4,0,1,67.2,11.9,3.54,13.0,1,0,1
S100097,25,Female,Medium,Secondary,33.4,1,0,2.74,87.0,0,6,74.9,11.2,3.91,12.0,0,1,1
S100098,25,Female,Medium,Bachelor,8.9,0,0,3.01,45.3,0,7,70.1,10.3,3.03,12.0,0,0,0
S100099,18,Female,Medium,Secondary,6.2,0,1,3.72,52.7,0,8,93.6,5.5,2.3,3.0,1,0,0
S100100,27,Female,High,Bachelor,4.1,1,0,3.18,58.6,3,3,69.7,7.2,3.31,11.0,0,1,0
S100101,19,Female,High,Postgraduate,1.7,0,0,4.0,100.0,0,1,60.8,0.0,2.3,10.0,1,0,0
S100102,27,Female,Medium,Postgraduate,3.4,0,1,3.11,76.5,1,5,67.9,6.8,2.27,7.0,1,0,1
S100103,17,Female,Medium,Secondary,12.3,0,0,2.92,52.2,1,5,76.8,6.9,2.6,6.0,0,0,1
S100104,27,Male,High,Secondary,10.8,0,1,2.99,77.3,0,6,86.2,12.7,3.61,10.0,0,0,0
S100105,27,Male,High,Bachelor,6.7,1,1,3.07,72.7,1,4,97.9,7.0,3.33,4.0,1,1,0
S100106,27,Female,Medium,Bachelor,5.8,1,0,3.16,69.1,0,6,87.7,13.9,3.42,6.0,1,0,0
S100107,25,Male,Low,Postgraduate,0.7,0,1,2.5,75.4,0,7,88.8,8.7,2.89,12.0,1,0,1
S100108,23,Female,Low,Secondary,21.3,0,1,2.88,65.9,0,2,91.1,10.7,3.2,12.0,1,0,0
S100109,26,Male,High,Bachelor,2.3,0,0,2.64,67.6,1,1,92.3,9.8,3.22,10.0,1,0,0
S100110,20,Female,Medium,Bachelor,43.9,0,1,3.51,41.7,1,7,95.5,13.5,2.32,6.0,0,0,0
S100111,27,Female,Medium,Secondary,0.9,0,0,2.04,86.6,0,6,100.0,16.0,3.21,4.0,0,0,0
S100112,24,Female,Medium,None,15.1,1,0,3.08,58.3,0,2,92.0,5.1,2.8,5.0,0,0,1
S100113,22,Female,Medium,Bachelor,3.2,0,1,2.24,46.4,0,3,84.3,18.8,2.52,13.0,0,0,0
S100114,23,Male,Medium,Secondary,1.8,0,1,3.22,57.4,0,5,73.0,5.7,2.55,9.0,0,0,0
S100115,24,Female,High,Bachelor,1.9,1,1,2.8,58.0,1,7,84.6,9.1,2.41,8.0,0,0,0
S100116,17,Male,Low,Bachelor,14.9,1,0,2.09,53.0,0,5,97.3,7.4,2.6,9.0,0,1,0
S100117,18,Female,Medium,Secondary,29.7,0,1,3.47,76.7,1,1,61.7,17.5,2.79,11.0,0,0,1
S100118,20,Female,Medium,Secondary,50.3,0,0,1.74,79.6,0,7,98.9,4.7,3.27,4.0,0,0,0
S100119,18,Female,High,Postgraduate,36.8,1,1,2.98,35.6,1,7,73.6,13.6,3.86,6.0,0,1,0
S100120,22,Female,Low,Bachelor,17.5,0,0,3.35,57.3,0,1,76.5,0.0,3.2,11.0,1,0,1
S100121,25,Female,Medium,Bachelor,64.7,0,0,3.69,58.4,0,1,87.8,14.1,2.88,9.0,1,0,0
S100122,25,Male,Low,Bachelor,33.6,0,0,2.19,62.4,0,2,72.1,9.0,1.4,12.0,1,0,1
S100123,23,Female,Low,Bachelor,27.8,1,0,2.74,90.6,0,8,86.9,8.1,4.49,11.0,0,1,0
S100124,28,Female,Medium,Postgraduate,18.3,0,0,3.54,52.8,1,8,62.7,6.5,2.3,5.0,0,0,0
S100125,24,Female,Low,Bachelor,16.9,0,0,3.58,88.4,1,4,93.1,9.7,2.33,0.0,1,1,0
S100126,18,Female,High,Secondary,14.7,0,0,3.64,62.8,0,4,82.9,8.2,3.68,9.0,1,1,0
S100127,26,Male,High,Secondary,26.7,1,0,4.0,88.6,0,8,79.9,2.5,2.03,4.0,0,2,0
S100128,24,Male,Low,Secondary,1.2,0,0,2.75,60.3,0,2,84.1,6.1,3.06,10.0,1,0,1
S100129,25,Male,High,Bachelor,1.9,0,1,3.19,58.6,0,1,79.7,14.0,2.48,14.0,0,0,0
S100130,24,Male,Medium,Secondary,26.9,0,1,2.83,64.7,1,7,86.6,8.0,2.62,4.0,1,0,0
S100131,24,Female,Medium,Bachelor,16.9,0,1,2.01,84.4,0,8,76.9,6.0,2.83,11.0,0,1,0
S100132,18,Female,High,Postgraduate,5.7,1,1,2.95,67.4,0,7,75.6,10.2,1.96,11.0,0,0,0
S100133,24,Female,Medium,Secondary,18.1,0,1,2.0,68.1,1,5,53.5,12.4,2.71,9.0,0,0,1
S100134,27,Female,Low,None,9.0,1,0,2.74,74.6,0,8,100.0,13.3,3.52,9.0,0,0,0
S100135,20,Female,Low,Bachelor,0.9,0,0,2.27,51.8,0,1,62.6,11.7,2.75,0.0,0,0,0
S100136,24,Female,Medium,None,8.4,0,0,3.22,70.1,1,8,100.0,16.0,5.0,8.0,0,0,0
S100137,17,Male,High,Bachelor,11.2,0,0,2.61,55.6,0,8,76.4,10.2,2.86,8.0,1,1,0
S100138,21,Female,Medium,Secondary,15.7,0,1,2.11,87.1,1,5,98.3,8.8,1.96,12.0,0,1,0
S100139,22,Male,Medium,Secondary,33.0,1,1,3.43,71.3,0,3,95.6,14.4,2.43,12.0,1,0,0
S100140,29,Female,Low,Bachelor,0.2,1,1,2.7,75.4,1,2,94.4,6.5,1.45,6.0,1,0,0
S100141,19,Female,High,Secondary,14.0,0,1,2.78,34.4,2,2,80.7,8.0,3.55,0.0,0,0,1
S100142,20,Female,Low,Secondary,1.0,0,1,2.51,75.6,0,1,62.1,2.0,3.92,2.0,0,1,0
S100143,22,Female,Medium,Secondary,5.1,1,0,3.57,62.3,0,1,77.3,19.1,3.39,14.0,1,0,0
S100144,29,Male,Medium,Secondary,5.8,0,0,3.14,43.4,0,5,75.3,20.4,2.21,8.0,0,1,1
S100145,28,Female,Low,Bachelor,62.5,1,1,2.69,66.4,0,5,78.5,9.1,2.19,2.0,1,0,0
S100146,17,Female,Low,None,10.4,0,1,2.04,42.2,1,1,61.6,13.8,3.32,3.0,1,0,1
S100147,20,Female,Medium,Secondary,5.2,0,0,4.0,74.2,0,6,75.7,13.5,2.44,9.0,0,0,0
S100148,27,Female,Low,Secondary,4.3,0,0,3.99,86.5,0,5,36.2,10.9,2.2,8.0,1,0,1
S100149,17,Female,Medium,Secondary,0.5,0,1,3.72,38.1,0,3,75.5,16.1,2.12,15.0,0,0,0
S100150,28,Female,High,None,6.3,1,1,2.65,64.6,0,8,81.9,3.7,4.11,8.0,0,0,0
S100151,20,Female,Low,Bachelor,5.7,0,0,2.75,62.5,1,6,68.3,9.1,2.48,10.0,0,0,1
S100152,28,Female,Medium,None,7.2,0,1,3.2,35.2,0,4,75.9,0.0,3.38,8.0,0,0,1
S100153,20,Female,Low,Bachelor,8.5,0,0,2.55,78.7,0,7,82.4,4.9,3.18,11.0,1,1,1
S100154,22,Female,Low,Secondary,8.4,0,1,2.51,74.4,0,8,95.2,1.9,2.21,15.0,0,0,1
S100155,25,Female,Medium,Secondary,3.5,1,1,3.73,95.4,0,4,95.8,0.8,2.83,12.0,0,0,0
S100156,18,Male,Medium,Secondary,2.3,0,1,2.97,72.4,0,5,84.6,7.5,2.1,16.0,0,0,1
S100157,24,Female,Medium,Bachelor,4.9,1,1,2.44,51.8,0,8,79.6,11.8,3.81,10.0,0,0,0
S100158,23,Male,Low,Postgraduate,47.3,0,1,3.48,72.7,0,4,85.3,6.7,2.16,2.0,0,0,1
S100159,27,Male,Medium,Secondary,24.4,0,0,2.71,84.3,0,1,100.0,7.3,3.06,5.0,0,1,0
S100160,29,Female,Medium,Postgraduate,5.7,0,1,2.01,58.0,1,4,87.5,6.3,2.45,11.0,0,0,0
S100161,25,Male,High,Secondary,21.1,0,0,2.43,77.8,0,6,83.9,10.7,2.15,7.0,0,0,0
S100162,22,Male,Medium,Bachelor,2.1,0,0,2.74,29.7,0,8,96.1,7.0,3.55,8.0,0,0,0
S100163,22,Male,High,Bachelor,6.1,0,1,3.11,87.1,0,6,80.7,5.0,2.44,5.0,1,0,0
S100164,22,Female,Low,Secondary,28.6,0,0,3.09,77.0,0,8,67.2,14.7,1.52,14.0,0,0,0
S100165,27,Female,Medium,Secondary,4.4,0,0,3.61,26.8,0,5,86.9,5.6,3.1,14.0,0,1,0
S100166,21,Female,Medium,None,21.6,1,0,2.88,70.7,1,6,82.6,3.6,2.3,7.0,0,0,0
S100167,19,Male,Medium,Bachelor,12.9,1,0,2.77,35.2,0,2,76.7,13.7,2.91,7.0,0,0,0
S100168,21,Female,Medium,Secondary,8.4,0,0,3.62,55.8,0,7,88.2,1.6,3.4,13.0,0,0,0
S100169,17,Female,Medium,Bachelor,15.3,1,1,3.49,75.2,0,5,52.8,16.1,3.05,12.0,1,1,0
S100170,18,Female,High,Secondary,45.8,1,0,2.89,63.0,0,1,71.9,4.9,3.42,1.0,0,2,0
S100171,18,Female,Low,Postgraduate,13.6,1,1,3.15,83.8,1,2,66.8,10.4,1.89,11.0,0,1,0
S100172,27,Male,High,None,13.9,0,0,2.76,66.0,2,6,68.4,5.0,3.64,10.0,0,0,0
S100173,26,Female,Medium,Bachelor,20.7,0,0,2.42,64.4,0,1,77.7,10.1,2.59,9.0,1,1,0
S100174,26,Female,Medium,Secondary,6.5,0,0,4.0,81.5,0,6,66.3,7.4,1.8,4.0,0,0,0
S100175,23,Female,Medium,Secondary,11.9,1,0,2.73,59.9,0,5,100.0,5.1,1.08,5.0,1,0,0
S100176,26,Female,Low,None,5.0,0,1,3.15,64.6,2,4,86.8,2.0,2.58,0.0,0,1,1
S100177,19,Female,High,Bachelor,7.8,0,1,2.24,66.6,1,5,68.1,7.3,2.25,5.0,0,0,0
S100178,28,Female,High,Secondary,18.8,1,0,3.37,64.0,2,6,53.9,12.4,2.26,0.0,0,0,0
S100179,23,Male,High,Bachelor,8.2,1,0,2.4,82.4,0,7,71.2,13.4,3.03,6.0,0,1,0
S100180,29,Female,High,Postgraduate,0.1,0,1,3.84,55.0,0,5,75.1,6.4,4.0,10.0,1,0,0
S100181,18,Female,Medium,Secondary,0.4,1,0,3.9,52.5,1,2,70.5,6.4,2.17,3.0,0,1,1
S100182,23,Male,Medium,None,44.0,1,0,3.28,49.1,0,8,100.0,9.1,2.86,13.0,0,0,0
S100183,26,Female,High,None,10.2,0,0,3.06,32.9,0,8,55.2,10.0,2.4,16.0,0,0,0
S100184,23,Male,Low,None,15.5,1,1,2.91,87.3,1,2,80.8,10.0,2.11,9.0,0,0,1
S100185,22,Female,High,Secondary,26.8,0,0,2.98,51.5,0,5,78.1,7.8,2.09,10.0,0,0,1
S100186,19,Male,Medium,Bachelor,10.1,0,1,3.2,61.4,1,4,76.3,8.2,3.95,2.0,1,0,0
S100187,21,Female,Medium,Secondary,2.8,1,0,3.04,88.4,0,6,50.9,8.6,2.81,9.0,0,0,0
S100188,20,Male,Medium,None,20.8,0,0,3.49,62.9,0,1,79.4,0.0,2.67,2.0,1,0,1
S100189,20,Female,Medium,Bachelor,15.2,0,1,2.54,72.7,0,2,82.7,8.0,2.32,1.0,1,1,0
S100190,25,Female,Low,Secondary,25.6,1,0,3.76,43.7,0,2,90.6,13.9,2.85,3.0,0,0,1
S100191,25,Male,Medium,Bachelor,45.4,0,0,2.79,86.0,0,7,87.2,17.0,2.35,7.0,1,1,1
S100192,24,Female,Medium,Postgraduate,1.0,0,0,2.63,63.2,0,5,98.3,15.9,4.15,8.0,1,0,0
S100193,21,Female,Low,Secondary,0.4,0,1,3.18,49.7,1,6,49.3,10.5,2.98,8.0,0,0,0
S100194,29,Female,Low,Secondary,60.9,0,1,3.21,49.7,0,3,76.5,4.1,2.9,3.0,1,0,0
S100195,18,Male,Medium,Bachelor,22.9,0,0,2.13,90.3,0,2,100.0,7.3,2.88,8.0,0,0,1
S100196,21,Female,Low,Bachelor,41.3,0,0,2.76,56.2,0,1,95.9,6.2,3.72,5.0,0,1,1
S100197,18,Male,High,Bachelor,1.7,1,0,1.91,50.1,0,5,58.2,3.0,2.78,9.0,0,0,0
S100198,21,Male,Low,Bachelor,22.2,0,0,2.66,58.5,0,7,81.3,5.3,2.47,7.0,1,0,1
S100199,29,Female,Medium,Secondary,41.9,0,0,2.68,65.7,0,4,64.3,6.4,2.91,1.0,0,2,1
S100200,21,Female,Low,Secondary,66.4,0,0,3.15,67.3,0,8,73.5,3.0,3.35,5.0,1,1,0
S100201,28,Female,Medium,Bachelor,27.6,0,0,2.61,71.7,0,8,100.0,14.7,3.63,10.0,1,0,0
S100202,23,Male,Medium,Bachelor,31.4,0,1,2.72,68.5,0,1,94.4,13.0,2.95,11.0,0,0,0
S100203,26,Female,Medium,Bachelor,19.1,0,1,3.65,74.7,0,8,57.2,9.8,2.96,3.0,1,1,0
S100204,22,Female,Medium,Secondary,2.4,0,1,4.0,60.9,0,7,68.5,11.9,3.49,5.0,1,0,0
S100205,20,Female,Medium,Bachelor,16.4,0,1,2.54,96.1,0,5,80.0,11.5,0.89,6.0,0,0,1
S100206,26,Female,Low,Secondary,9.2,0,0,3.51,57.7,0,2,76.0,6.3,2.86,13.0,1,0,0
S100207,29,Male,Medium,Secondary,7.0,0,1,3.19,85.3,0,4,84.7,19.0,2.39,10.0,0,1,1
S100208,20,Male,Medium,Secondary,8.2,0,0,2.13,56.0,0,7,68.4,6.2,2.84,3.0,1,0,0
S100209,27,Female,Medium,Secondary,2.5,0,1,2.6,43.6,0,4,74.5,1.7,3.05,10.0,0,0,0
S100210,20,Female,Medium,Bachelor,21.1,0,0,1.49,40.0,1,8,68.2,10.8,3.67,13.0,1,0,0
S100211,26,Male,Medium,Secondary,0.8,0,1,3.16,69.6,1,3,74.5,12.8,1.83,9.0,1,0,0
S100212,27,Male,Medium,Bachelor,28.7,1,1,2.46,82.4,0,3,90.6,8.5,2.3,5.0,1,0,0
S100213,22,Male,Low,Secondary,0.9,0,0,3.07,47.7,0,7,84.5,16.2,2.18,11.0,0,0,1
S100214,26,Female,Low,Secondary,7.0,0,0,4.0,51.8,0,1,69.5,10.9,2.38,9.0,0,0,0
S100215,20,Male,Low,Secondary,9.3,0,1,3.8,70.8,0,5,97.0,5.9,1.84,7.0,1,0,1
S100216,18,Female,Medium,Secondary,24.8,0,0,2.62,65.0,0,3,96.0,7.0,4.3,12.0,0,0,0
S100217,18,Female,High,Bachelor,20.3,0,0,2.5,56.2,1,5,80.0,10.7,3.41,8.0,1,0,0
S100218,22,Male,Medium,Secondary,48.8,0,0,3.65,45.8,1,2,76.1,10.4,2.26,8.0,0,0,0
S100219,28,Female,Medium,Secondary,4.3,0,0,2.5,69.6,0,1,100.0,16.1,2.81,11.0,0,1,0
S100220,18,Female,Low,Secondary,5.2,0,0,3.5,74.8,1,7,100.0,14.2,2.5,6.0,0,0,0
S100221,22,Female,High,None,3.4,0,1,4.0,72.4,0,1,57.3,2.2,2.91,3.0,0,0,1
S100222,26,Male,Low,None,4.5,1,1,3.34,65.4,0,4,97.9,9.2,2.26,9.0,1,0,1
S100223,19,Female,Medium,Postgraduate,25.4,1,0,3.59,49.2,1,2,100.0,3.8,1.73,14.0,1,0,0
S100224,26,Male,High,None,9.5,0,1,3.53,69.7,0,6,89.8,17.3,2.4,0.0,1,0,1
S100225,20,Female,Medium,None,21.5,1,1,2.72,68.6,1,4,73.0,5.1,3.77,11.0,1,0,0
S100226,27,Female,Low,Bachelor,4.9,0,0,3.15,45.3,0,8,74.8,11.0,1.76,8.0,0,0,1
S100227,24,Male,Low,Bachelor,2.2,0,1,2.52,60.5,0,4,100.0,6.5,3.57,6.0,0,0,0
S100228,24,Male,Medium,Secondary,11.5,0,0,3.64,70.5,1,3,92.5,0.1,3.19,5.0,0,0,0
S100229,19,Female,Low,Bachelor,2.8,1,0,2.46,63.8,1,7,88.2,3.7,2.52,12.0,0,0,0
S100230,23,Male,Medium,Postgraduate,13.7,0,1,3.35,35.6,0,7,100.0,8.8,3.33,11.0,0,0,0
